;Volumenes;Capitulos;Status;Año;Generos;Temas;Demografia;Editorial;Autor;Lectores
0; Unknown; Unknown; Publishing; Aug  25, 1989 to ?;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror'];['Gore', 'Military', 'Psychological'];['Seinen'];"
Young Animal";"
Miura, Kentarou (Story & Art), Studio Gaga (Art)"; 753,701
1; 24; 96; Finished; Jan  19, 2004 to Apr  19, 2011;['Action', 'Adventure', 'Mystery', 'Supernatural'];['Historical'];['Seinen', 'Shounen'];"
Ultra Jump";"
Araki, Hirohiko (Story & Art)"; 296,398
2; 37; 327; On Hiatus; Sep  3, 1998 to May  21, 2015;['Action', 'Adventure', 'Award Winning'];['Historical', 'Samurai'];['Seinen'];"
Morning";"
Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)"; 427,229
3; Unknown; Unknown; Publishing; Jul  22, 1997 to ?;['Action', 'Adventure', 'Fantasy'];;['Shounen'];"
Shounen Jump (Weekly)";"
Oda, Eiichiro (Story & Art)"; 664,863
4; 18; 162; Finished; Dec  5, 1994 to Dec  20, 2001;['Award Winning', 'Drama', 'Mystery'];['Adult Cast', 'Psychological'];['Seinen'];"
Big Comic Original";"
Urasawa, Naoki (Story & Art)"; 272,221
5; 31; 276; Finished; Sep  18, 1990 to Jun  4, 1996;['Award Winning', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Jump (Weekly)";"
Inoue, Takehiko (Story & Art)"; 189,592
6; Unknown; Unknown; Publishing; Apr  13, 2005 to ?;['Action', 'Adventure', 'Award Winning', 'Drama'];['Historical'];['Seinen'];"
Afternoon";"
Yukimura, Makoto (Story & Art)"; 335,110
7; 27; 116; Finished; Jul  12, 2001 to Sep  11, 2010;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy'];['Military'];['Shounen'];"
Shounen Gangan";"
Arakawa, Hiromu (Story & Art)"; 311,511
8; Unknown; Unknown; Publishing; Apr  7, 2014 to ?;['Comedy'];;['Seinen'];"
good! Afternoon";"
Inoue, Kenji (Story), Yoshioka, Kimitake (Art)"; 190,799
9; Unknown; Unknown; Publishing; Jan  26, 2006 to ?;['Action', 'Award Winning'];['Historical', 'Military'];['Seinen'];"
Young Jump";"
Hara, Yasuhisa (Story & Art)"; 188,737
10; 13; 147; Finished; Mar  15, 2007 to Nov  2, 2013;['Drama', 'Slice of Life'];['Psychological'];['Seinen'];"
Big Comic Spirits";"
Asano, Inio (Story & Art)"; 487,704
11; 13; 108; Finished; Oct  25, 2012 to Apr  25, 2024;['Action', 'Drama', 'Fantasy'];['Anthropomorphic'];['Seinen'];"
Afternoon";"
Ichikawa, Haruko (Story & Art)"; 155,876
12; Unknown; Unknown; Publishing; Oct  28, 1999 to ?;['Award Winning', 'Drama', 'Sports'];['Psychological', 'Team Sports'];['Seinen'];"
Young Jump";"
Inoue, Takehiko (Story & Art)"; 101,909
13; 22; 249; Finished; Sep  27, 1999 to Apr  24, 2006;['Award Winning', 'Drama', 'Mystery', 'Sci-Fi'];['Historical', 'Psychological'];['Seinen'];"
Big Comic Spirits";"
Urasawa, Naoki (Story & Art)"; 290,902
14; 20; 171; Finished; Jan  1, 1968 to May  13, 1973;['Drama', 'Slice of Life', 'Sports'];['Combat Sports'];['Shounen'];"
Shounen Magazine (Weekly)";"
Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)"; 61,446
15; Unknown; Unknown; Publishing; Mar  21, 2003 to ?;['Award Winning', 'Comedy', 'Slice of Life'];['Childcare', 'Iyashikei'];;"
Dengeki Daioh";"
Azuma, Kiyohiko (Story & Art)"; 170,559
16; 9; 42; Finished; Jan  21, 2012 to Jun  22, 2015;['Drama', 'Fantasy', 'Mystery', 'Supernatural'];;['Shounen'];"
Gangan Joker";"
Natsumi, Kei (Art), Ryukishi07 (Story)"; 22,431
17; 28; 281; Finished; May  19, 2015 to Nov  2, 2022;['Award Winning', 'Comedy', 'Romance'];['School'];['Seinen'];"
Young Jump";"
Akasaka, Aka (Story & Art)"; 289,958
18; 25; 208; Finished; Dec  11, 1996 to Jan  30, 2002;['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi'];['Delinquents', 'School', 'Workplace'];['Shounen'];"
Shounen Magazine (Weekly)";"
Fujisawa, Tooru (Story & Art)"; 182,714
19; 45; 407; Finished; Feb  20, 2012 to Jul  20, 2020;['Award Winning', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Jump (Weekly)";"
Furudate, Haruichi (Story & Art)"; 233,898
20; Unknown; Unknown; Publishing; Jul  13, 2007 to ?;['Award Winning', 'Drama', 'Slice of Life'];['Childcare', 'Iyashikei', 'Strategy Game'];['Seinen'];"
Young Animal";"
Umino, Chica (Story & Art)"; 76,220
21; Unknown; Unknown; Publishing; Apr  28, 2020 to ?;['Adventure', 'Award Winning', 'Drama', 'Fantasy'];;['Shounen'];"
Shounen Sunday";"
Yamada, Kanehito (Story), Abe, Tsukasa (Art)"; 151,524
22; 7; 64; Finished; Aug  7, 2013 to Nov  19, 2014;['Award Winning', 'Drama'];;['Shounen'];"
Shounen Magazine (Weekly)";"
Ooima, Yoshitoki (Story & Art)"; 283,349
23; Unknown; Unknown; Publishing; Aug  5, 2009 to ?;['Adventure', 'Fantasy', 'Romance'];;['Shoujo'];"
Hana to Yume";"
Kusanagi, Mizuho (Story & Art)"; 146,127
24; Unknown; Unknown; Publishing; Oct  21, 2021 to ?;['Drama', 'Romance'];['School'];;"
Magazine pocket";"
Mikami, Saka (Story & Art)"; 103,488
25; 21; 84; On Hiatus; May  26, 2000 to May  26, 2009;['Award Winning', 'Drama', 'Romance'];['Adult Cast', 'Love Polygon', 'Music'];['Shoujo'];"
Cookie";"
Yazawa, Ai (Story & Art)"; 160,686
